city_x,city_y
Figari South Corsica,Fuerteventura
Figari South Corsica,Girona
Figari South Corsica,Gran Canaria
Figari South Corsica,Granada-Jaén
Figari South Corsica,Ibiza
Figari South Corsica,Jerez
Figari South Corsica,La Palma
Figari South Corsica,Lanzarote
Figari South Corsica,Madrid Barajas
Figari South Corsica,Malaga
Figari South Corsica,Menorca
Figari South Corsica,Palma de Mallorca
Figari South Corsica,Región de Murcia
Figari South Corsica,Reus
Figari South Corsica,Santander
Figari South Corsica,Santiago de Compostela
Figari South Corsica,Seville
Figari South Corsica,Tenerife North
Figari South Corsica,Tenerife South
Figari South Corsica,Valencia
Figari South Corsica,Zaragoza
Figari South Corsica,Aberdeen
Figari South Corsica,Belfast City
Figari South Corsica,Belfast International
Figari South Corsica,Birmingham
Figari South Corsica,Bristol
Figari South Corsica,Cardiff
Figari South Corsica,Doncaster Sheffield
Figari South Corsica,East Midlands
Figari South Corsica,Edinburgh
Figari South Corsica,Exeter
Figari South Corsica,Glasgow
Figari South Corsica,Glasgow Prestwick
Figari South Corsica,Humberside
Figari South Corsica,Jersey
Figari South Corsica,Leeds Bradford
Figari South Corsica,Liverpool
Figari South Corsica,London City
Figari South Corsica,London Gatwick
Figari South Corsica,London Heathrow
Figari South Corsica,London Luton
Figari South Corsica,London Southend
Figari South Corsica,London Stansted
Figari South Corsica,Manchester
Figari South Corsica,Newcastle
Figari South Corsica,Southampton
Lille,Ajaccio
Lille,Bastia
Lille,Bergerac
Lille,Biarritz
Lille,Bordeaux
Lille,Brest Bretagne
Lille,Figari South Corsica
Lille,Lyon-Saint Exupéry
Lille,Marseille
Lille,Montpellier
Lille,Nantes
Lille,Nice
Lille,Paris Beauvais
Lille,Paris Charles de Gaulle
Lille,Paris Orly
Lille,Strasbourg
Lille,Rennes Bretagne
Lille,Réunion Roland Garros
Lille,Toulon-Hyères
Lille,Toulouse Blagnac
Lille,Allgäu Memmingen
Lille,Berlin Brandenburg
Lille,Berlin Schönefeld
Lille,Berlin Tegel
Lille,Bremen
Lille,Cologne Bonn
Lille,Dortmund
Lille,Dresden
Lille,Düsseldorf
Lille,Frankfurt
Lille,Frankfurt-Hahn
Lille,Friedrichshafen
Lille,Hamburg
Lille,Hanover
Lille,Karlsruhe Baden-Baden
Lille,Leipzig Halle
Lille,Munich
Lille,Münster Osnabrück
